ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Adelaide,Adelaide International 1,2023-01-01,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Gasquet R.,61.0,68.0,776.0,740.0,7.0,6.0,6.0,7.0,7.0,5.0,,,,,2.0,1.0,Completed,1.91,1.91,1.93,1.95,1.99,1.95,1.89,1.89
1,Adelaide,Adelaide International 1,2023-01-01,ATP250,Outdoor,Hard,1st Round,3,Mcdonald M.,Galan D.E.,63.0,67.0,775.0,741.0,6.0,3.0,,,,,,,,,1.0,0.0,Retired,1.36,3.2,1.39,3.25,1.44,3.4,1.36,3.12
1,Adelaide,Adelaide International 1,2023-01-02,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,O Connell C.,29.0,78.0,1420.0,652.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.57,2.38,1.58,2.53,1.64,2.53,1.58,2.36
1,Adelaide,Adelaide International 1,2023-01-02,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Rune H.,36.0,11.0,1134.0,2888.0,2.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,3.75,1.29,4.0,1.28,4.0,1.31,3.56,1.29
1,Adelaide,Adelaide International 1,2023-01-02,ATP250,Outdoor,Hard,1st Round,3,Popyrin A.,Auger-Aliassime F.,120.0,6.0,469.0,4195.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,6.5,1.11,6.2,1.15,6.75,1.18,6.04,1.13
1,Adelaide,Adelaide International 1,2023-01-02,ATP250,Outdoor,Hard,1st Round,3,Halys Q.,Thompson J.,64.0,84.0,767.0,626.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.1,1.73,2.14,1.78,2.15,1.83,2.08,1.74
1,Adelaide,Adelaide International 1,2023-01-02,ATP250,Outdoor,Hard,1st Round,3,Safiullin R.,Ymer M.,88.0,69.0,606.0,739.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.2,1.67,2.27,1.7,2.36,1.71,2.2,1.65
1,Adelaide,Adelaide International 1,2023-01-02,ATP250,Outdoor,Hard,1st Round,3,Draper J.,Kwon S.W.,42.0,83.0,990.0,630.0,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.67,2.2,1.69,2.29,1.7,2.4,1.65,2.22
1,Adelaide,Adelaide International 1,2023-01-02,ATP250,Outdoor,Hard,1st Round,3,Kokkinakis T.,Cressy M.,93.0,34.0,592.0,1163.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.91,1.91,1.97,1.92,2.0,2.12,1.9,1.89
1,Adelaide,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Medvedev D.,Sonego L.,7.0,45.0,4065.0,950.0,7.0,6.0,2.0,1.0,,,,,,,1.0,0.0,Retired,1.11,6.5,1.13,7.18,1.15,7.18,1.12,6.15
1,Adelaide,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Khachanov K.,Cachin P.,20.0,57.0,1990.0,813.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.17,5.0,1.18,5.52,1.24,5.52,1.18,4.84
1,Adelaide,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Djokovic N.,Lestienne C.,5.0,65.0,4820.0,760.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.03,17.0,1.02,18.89,1.04,18.89,1.02,13.52
1,Adelaide,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Sinner J.,Edmund K.,15.0,582.0,2410.0,52.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.13,6.0,1.13,7.01,1.15,7.01,1.12,6.04
1,Adelaide,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Shapovalov D.,Hijikata R.,18.0,164.0,2075.0,344.0,2.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,1.25,4.0,1.29,3.96,1.29,4.1,1.26,3.82
1,Adelaide,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Bautista Agut R.,Rublev A.,21.0,8.0,1940.0,3930.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,3.0,1.4,2.72,1.5,3.0,1.5,2.71,1.46
1,Adelaide,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Korda S.,Murray A.,33.0,49.0,1175.0,920.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.57,2.38,1.62,2.44,1.63,2.56,1.58,2.36
1,Adelaide,Adelaide International 1,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Khachanov K.,Draper J.,20.0,42.0,1990.0,990.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.3,1.62,2.43,1.63,2.46,1.82,2.25,1.63
1,Adelaide,Adelaide International 1,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Nishioka Y.,Mcdonald M.,36.0,63.0,1134.0,775.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.62,2.3,1.69,2.31,1.7,2.45,1.64,2.24
1,Adelaide,Adelaide International 1,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Medvedev D.,Kecmanovic M.,7.0,29.0,4065.0,1420.0,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.14,5.5,1.18,5.66,1.18,6.0,1.16,5.24
1,Adelaide,Adelaide International 1,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Popyrin A.,Giron M.,120.0,61.0,469.0,776.0,4.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,1.73,2.1,1.78,2.17,1.85,2.22,1.74,2.09
